DATE,WLEMUINDXD
2014/9/1,17.75
2014/9/2,10.42
2014/9/3,7.7
2014/9/4,6.47
2014/9/5,7.79
2014/9/6,11.23
2014/9/7,29.71
2014/9/8,12.31
2014/9/9,9.02
2014/9/10,7.25
2014/9/11,12.54
2014/9/12,7.64
2014/9/13,10.97
2014/9/14,9.76
2014/9/15,12.35
2014/9/16,9.04
2014/9/17,28.42
2014/9/18,6.25
2014/9/19,15.03
2014/9/20,98.08
2014/9/21,19.25
2014/9/22,12.05
2014/9/23,79.78
2014/9/24,60.04
2014/9/25,6.23
2014/9/26,7.56
2014/9/27,10.71
2014/9/28,9.85
2014/9/29,12.1
2014/9/30,44.64
2014/10/1,21.84
2014/10/2,19.45
2014/10/3,7.53
2014/10/4,10.98
2014/10/5,9.62
2014/10/6,11.88
2014/10/7,54.57
2014/10/8,7.23
2014/10/9,25.72
2014/10/10,113.77
2014/10/11,32.98
2014/10/12,29.31
2014/10/13,24.56
2014/10/14,9.09
2014/10/15,14.47
2014/10/16,45.37
2014/10/17,83.92
2014/10/18,21.84
2014/10/19,9.69
2014/10/20,11.96
2014/10/21,26.71
2014/10/22,28.07
2014/10/23,6.6
2014/10/24,15.19
2014/10/25,21.61
2014/10/26,27.06
2014/10/27,33.76
2014/10/28,9
2014/10/29,21.58
2014/10/30,24.41
2014/10/31,7.5
2014/11/1,10.87
2014/11/2,9.64
2014/11/3,24.16
2014/11/4,9.03
2014/11/5,7.01
2014/11/6,6.2
2014/11/7,7.84
2014/11/8,11.49
2014/11/9,19.7
2014/11/10,11.99
2014/11/11,19.17
2014/11/12,7.68
2014/11/13,12.34
2014/11/14,15.58
2014/11/15,11.45
2014/11/16,29.8
2014/11/17,11.98
2014/11/18,9.24
2014/11/19,7.49
2014/11/20,6.34
2014/11/21,8
2014/11/22,11.58
2014/11/23,9.92
2014/11/24,36.39
2014/11/25,18.63
2014/11/26,7.82
2014/11/27,17.74
2014/11/28,9.85
2014/11/29,13.1
2014/11/30,10.73
2014/12/1,12.07
2014/12/2,9.35
2014/12/3,7.59
2014/12/4,12.95
2014/12/5,15.79
2014/12/6,11.85
2014/12/7,20.12
2014/12/8,24.09
2014/12/9,8.98
2014/12/10,14.79
2014/12/11,6.44
2014/12/12,31.89
2014/12/13,11.86
2014/12/14,51.64
2014/12/15,12.13
2014/12/16,9.14
2014/12/17,45.86
2014/12/18,85.59
2014/12/19,15.75
2014/12/20,12.23
2014/12/21,10.61
2014/12/22,12.53
2014/12/23,9.82
2014/12/24,17.29
2014/12/25,11.4
2014/12/26,10.8
2014/12/27,13.85
2014/12/28,32.98
2014/12/29,12.87
2014/12/30,30.1
2014/12/31,101.77
2015/1/1,54.58
2015/1/2,20.38
2015/1/3,65.17
2015/1/4,64.23
2015/1/5,12.53
2015/1/6,9.34
2015/1/7,14.97
2015/1/8,26.03
2015/1/9,7.76
2015/1/10,11.87
2015/1/11,19.88
2015/1/12,11.86
2015/1/13,8.98
2015/1/14,7.2
2015/1/15,12.79
2015/1/16,15.58
2015/1/17,22.76
2015/1/18,28.66
2015/1/19,25.12
2015/1/20,18.38
2015/1/21,57.01
2015/1/22,30.68
2015/1/23,15.4
2015/1/24,34.23
2015/1/25,19.69
2015/1/26,11.86
2015/1/27,45.21
2015/1/28,14.93
2015/1/29,6.4
2015/1/30,115.71
2015/1/31,67.26
2015/2/1,9.71
2015/2/2,12.27
2015/2/3,9.06
2015/2/4,7.33
2015/2/5,12.86
2015/2/6,23.26
2015/2/7,22.89
2015/2/8,29.83
2015/2/9,48.3
2015/2/10,73.17
2015/2/11,58.88
2015/2/12,6.43
2015/2/13,7.96
2015/2/14,22.8
2015/2/15,19.75
2015/2/16,12.26
2015/2/17,9.48
2015/2/18,7.48
2015/2/19,124.64
2015/2/20,7.77
2015/2/21,11.08
2015/2/22,9.52
2015/2/23,11.66
2015/2/24,9.05
2015/2/25,7.2
2015/2/26,6.43
2015/2/27,7.7
2015/2/28,11.29
2015/3/1,9.64
2015/3/2,11.78
2015/3/3,8.99
2015/3/4,7.38
2015/3/5,6.47
2015/3/6,7.73
2015/3/7,11.21
2015/3/8,9.75
2015/3/9,47.28
2015/3/10,8.94
2015/3/11,7.28
2015/3/12,6.36
2015/3/13,7.62
2015/3/14,11.33
2015/3/15,9.6
2015/3/16,11.81
2015/3/17,8.96
2015/3/18,29.26
2015/3/19,19.73
2015/3/20,31.01
2015/3/21,11.59
2015/3/22,48.66
2015/3/23,47.18
2015/3/24,26.92
2015/3/25,14.45
2015/3/26,6.42
2015/3/27,7.54
2015/3/28,88.69
2015/3/29,18.47
2015/3/30,11.96
2015/3/31,9.11
2015/4/1,7.3
2015/4/2,45.55
2015/4/3,39.48
2015/4/4,179.95
2015/4/5,96.8
2015/4/6,49.33
2015/4/7,35.17
2015/4/8,7.23
2015/4/9,6.3
