Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
2022/1/3,0.05,0.05,0.09,0.09,0.22,0.22,0.39,0.4
2022/1/4,0.06,0.06,0.08,0.08,0.23,0.23,0.37,0.38
2022/1/5,0.05,0.05,0.09,0.09,0.23,0.23,0.4,0.41
2022/1/6,0.04,0.04,0.1,0.1,0.23,0.23,0.43,0.44
2022/1/7,0.05,0.05,0.1,0.1,0.24,0.24,0.41,0.42
2022/1/10,0.05,0.05,0.13,0.13,0.29,0.29,0.44,0.45
2022/1/11,0.04,0.04,0.12,0.12,0.28,0.28,0.44,0.45
2022/1/12,0.04,0.04,0.12,0.12,0.28,0.28,0.45,0.46
2022/1/13,0.05,0.05,0.12,0.12,0.28,0.28,0.45,0.46
2022/1/14,0.05,0.05,0.13,0.13,0.3,0.3,0.48,0.49
2022/1/18,0.05,0.05,0.17,0.17,0.37,0.38,0.55,0.56
2022/1/19,0.05,0.05,0.17,0.17,0.36,0.37,0.53,0.54
2022/1/20,0.05,0.05,0.18,0.18,0.36,0.37,0.56,0.57
2022/1/21,0.05,0.05,0.17,0.17,0.35,0.36,0.54,0.55
2022/1/24,0.05,0.05,0.2,0.2,0.39,0.4,0.55,0.56
2022/1/25,0.05,0.05,0.2,0.2,0.39,0.4,0.64,0.65
2022/1/26,0.05,0.05,0.19,0.19,0.4,0.41,0.69,0.7
2022/1/27,0.04,0.04,0.2,0.2,0.43,0.44,0.74,0.75
2022/1/28,0.04,0.04,0.19,0.19,0.43,0.44,0.74,0.75
2022/1/31,0.03,0.03,0.24,0.24,0.49,0.5,0.76,0.77
2022/2/1,0.04,0.04,0.2,0.2,0.48,0.49,0.76,0.77
2022/2/2,0.04,0.04,0.2,0.2,0.45,0.46,0.74,0.75
2022/2/3,0.03,0.03,0.21,0.21,0.48,0.49,0.75,0.76
2022/2/4,0.05,0.05,0.23,0.23,0.55,0.56,0.86,0.88
2022/2/7,0.03,0.03,0.28,0.28,0.59,0.6,0.85,0.87
2022/2/8,0.03,0.03,0.27,0.27,0.59,0.6,0.87,0.89
2022/2/9,0.03,0.03,0.27,0.27,0.57,0.58,0.87,0.89
2022/2/10,0.05,0.05,0.41,0.42,0.74,0.75,1.09,1.11
2022/2/11,0.03,0.03,0.37,0.38,0.7,0.71,1.03,1.05
2022/2/14,0.03,0.03,0.45,0.46,0.77,0.78,1.08,1.1
2022/2/15,0.02,0.02,0.41,0.42,0.72,0.73,1.05,1.07
2022/2/16,0.03,0.03,0.39,0.4,0.67,0.68,1.04,1.06
2022/2/17,0.06,0.06,0.37,0.38,0.65,0.66,0.99,1.01
2022/2/18,0.03,0.03,0.35,0.36,0.65,0.66,0.97,0.99
2022/2/22,0.03,0.03,0.39,0.4,0.74,0.75,1.15,1.18
2022/2/23,0.02,0.02,0.36,0.37,0.74,0.75,1.14,1.17
2022/2/24,0.05,0.05,0.33,0.33,0.64,0.65,1.06,1.08
2022/2/25,0.03,0.03,0.33,0.33,0.71,0.72,1.11,1.13
2022/2/28,0.06,0.06,0.37,0.38,0.68,0.69,0.98,1
2022/3/1,0.1,0.1,0.32,0.32,0.59,0.6,0.88,0.9
2022/3/2,0.12,0.12,0.33,0.33,0.66,0.67,1.03,1.05
2022/3/3,0.19,0.19,0.37,0.38,0.67,0.68,1.05,1.07
2022/3/4,0.15,0.15,0.33,0.33,0.66,0.67,1.02,1.04
2022/3/7,0.17,0.17,0.38,0.39,0.73,0.74,1.03,1.05
2022/3/8,0.15,0.15,0.36,0.37,0.7,0.71,1.07,1.09
2022/3/9,0.17,0.17,0.38,0.39,0.73,0.74,1.1,1.12
2022/3/10,0.19,0.19,0.38,0.39,0.73,0.74,1.13,1.16
2022/3/11,0.17,0.17,0.39,0.4,0.75,0.76,1.15,1.18
2022/3/14,0.22,0.22,0.45,0.46,0.84,0.86,1.2,1.23
2022/3/15,0.21,0.21,0.46,0.47,0.84,0.86,1.19,1.22
2022/3/16,0.23,0.23,0.43,0.44,0.84,0.86,1.26,1.29
2022/3/17,0.2,0.2,0.4,0.41,0.79,0.8,1.2,1.23
2022/3/18,0.19,0.19,0.41,0.42,0.8,0.81,1.19,1.22
2022/3/21,0.21,0.21,0.55,0.56,0.93,0.95,1.28,1.31
2022/3/22,0.2,0.2,0.51,0.52,0.94,0.96,1.56,1.6
2022/3/23,0.14,0.14,0.5,0.51,0.9,0.92,1.49,1.53
2022/3/24,0.16,0.16,0.5,0.51,0.93,0.95,1.51,1.55
2022/3/25,0.17,0.17,0.53,0.54,0.98,1,1.62,1.66
2022/3/28,0.18,0.18,0.6,0.61,1.06,1.08,1.63,1.67
2022/3/29,0.17,0.17,0.56,0.57,1.03,1.05,1.62,1.66
2022/3/30,0.13,0.13,0.55,0.56,1.01,1.03,1.58,1.62
2022/3/31,0.17,0.17,0.51,0.52,1.02,1.04,1.57,1.61
2022/4/1,0.15,0.15,0.52,0.53,1.05,1.07,1.65,1.69
2022/4/4,0.17,0.17,0.67,0.68,1.12,1.14,1.65,1.69
2022/4/5,0.17,0.17,0.65,0.66,1.11,1.13,1.69,1.73
2022/4/6,0.19,0.19,0.67,0.68,1.13,1.15,1.71,1.76
2022/4/7,0.21,0.21,0.68,0.69,1.12,1.14,1.69,1.73
2022/4/8,0.2,0.2,0.69,0.7,1.16,1.18,1.72,1.77
2022/4/11,0.21,0.21,0.78,0.79,1.22,1.24,1.75,1.8
2022/4/12,0.19,0.19,0.74,0.75,1.18,1.2,1.67,1.71
2022/4/13,0.23,0.23,0.75,0.76,1.17,1.19,1.67,1.71
2022/4/14,0.37,0.38,0.78,0.79,1.22,1.24,1.73,1.78
2022/4/18,0.37,0.38,0.82,0.83,1.25,1.28,1.72,1.77
2022/4/19,0.35,0.35,0.82,0.83,1.26,1.29,1.89,1.94
2022/4/20,0.33,0.33,0.82,0.83,1.26,1.29,1.88,1.93
2022/4/21,0.5,0.51,0.82,0.83,1.29,1.32,1.96,2.02
2022/4/22,0.46,0.47,0.82,0.83,1.3,1.33,2,2.06
2022/4/25,0.39,0.4,0.93,0.95,1.4,1.43,1.96,2.02
2022/4/26,0.36,0.37,0.84,0.85,1.37,1.4,1.92,1.97
2022/4/27,0.35,0.35,0.82,0.83,1.36,1.39,1.91,1.96
2022/4/28,0.37,0.38,0.81,0.82,1.35,1.38,1.96,2.02
2022/4/29,0.37,0.38,0.83,0.84,1.37,1.4,2.02,2.08
2022/5/2,0.38,0.39,0.9,0.91,1.45,1.48,2.01,2.07
2022/5/3,0.44,0.45,0.9,0.91,1.41,1.44,2.07,2.13
2022/5/4,0.45,0.46,0.88,0.89,1.39,1.42,1.98,2.04
2022/5/5,0.49,0.5,0.84,0.85,1.33,1.36,1.98,2.04
2022/5/6,0.48,0.49,0.84,0.85,1.36,1.39,1.98,2.04
2022/5/9,0.49,0.5,0.92,0.93,1.39,1.42,1.89,1.94
2022/5/10,0.55,0.56,0.89,0.9,1.4,1.43,1.9,1.95
2022/5/11,0.56,0.57,0.9,0.91,1.39,1.42,1.88,1.93
2022/5/12,0.6,0.61,0.95,0.97,1.39,1.42,1.85,1.9
2022/5/13,0.66,0.67,1.01,1.03,1.42,1.45,1.92,1.97
2022/5/16,0.62,0.63,1.07,1.09,1.5,1.53,1.96,2.02
2022/5/17,0.58,0.59,1.06,1.08,1.52,1.55,2.02,2.08
2022/5/18,0.5,0.51,1.02,1.04,1.52,1.55,2.1,2.16
2022/5/19,0.65,0.66,1.04,1.06,1.47,1.5,2.05,2.11
2022/5/20,0.62,0.63,1.01,1.03,1.46,1.49,2.01,2.07
2022/5/23,0.52,0.53,1.07,1.09,1.53,1.56,2.02,2.08
2022/5/24,0.51,0.52,1.05,1.07,1.49,1.52,1.95,2.01
2022/5/25,0.52,0.53,1.05,1.07,1.48,1.51,1.94,2
2022/5/26,0.7,0.71,1.06,1.08,1.48,1.51,1.93,1.99
2022/5/27,0.68,0.69,1.06,1.08,1.49,1.52,1.94,2
2022/5/31,0.71,0.72,1.13,1.15,1.6,1.64,2,2.06
2022/6/1,0.75,0.76,1.12,1.14,1.59,1.63,2.08,2.14
2022/6/2,0.84,0.85,1.13,1.15,1.6,1.64,2.07,2.13
2022/6/3,0.86,0.87,1.17,1.19,1.63,1.67,2.1,2.16
2022/6/6,0.87,0.88,1.23,1.25,1.7,1.74,2.14,2.2
2022/6/7,0.85,0.86,1.24,1.26,1.71,1.75,2.15,2.21
2022/6/8,0.86,0.87,1.25,1.27,1.73,1.77,2.18,2.25
2022/6/9,1.04,1.06,1.26,1.28,1.76,1.8,2.23,2.3
2022/6/10,1.09,1.11,1.34,1.36,1.92,1.97,2.45,2.53
2022/6/13,1.11,1.13,1.69,1.72,2.2,2.26,2.73,2.82
2022/6/14,1.15,1.17,1.78,1.81,2.37,2.43,3.05,3.17
2022/6/15,1.16,1.18,1.69,1.72,2.25,2.31,2.83,2.93
2022/6/16,1.18,1.2,1.54,1.57,2.17,2.22,2.78,2.88
2022/6/17,1.13,1.15,1.58,1.61,2.17,2.22,2.77,2.87
2022/6/21,1.04,1.06,1.66,1.69,2.39,2.45,2.82,2.92
2022/6/22,0.92,0.93,1.57,1.6,2.34,2.4,2.7,2.79
2022/6/23,1.11,1.13,1.59,1.62,2.37,2.43,2.68,2.77
2022/6/24,1.18,1.2,1.66,1.69,2.43,2.49,2.73,2.82
2022/6/27,1.13,1.15,1.75,1.78,2.49,2.56,2.78,2.88
